,ACID,No. A/C,TYPE A/C,ALT,MAJOR CITY,COLOR,Injury Reported,CITY,STATE,hr_adj,date_time,day_of_week,holidays
175,N608DL,1,C172,5500,ONT,Green,NO,Ontario,California,4,10-02-11 4:20,Thursday,FALSE
176,EMD15,1,HELO,2400,OJC,Green,NO,Olathe,Kansas,1,10-02-12 1:30,Friday,FALSE
177,ASA241,1,B737,8000,EMT,Green ,NO,El Monte,California,5,10-02-12 5:18,Friday,FALSE
178,SKW6131,1,CRJ2,1700,BUR,Green,NO, Burbank,California,6,10-02-12 6:00,Friday,FALSE
179,ASA1000,1,B737,3500,SEA,Green ,NO,Seattle,Washington,6,10-02-12 6:20,Friday,FALSE
180,SKW33M,1,CRJ9,4000,GEG,Green ,NO,Spokane,Washington,4,10-02-13 4:30,Saturday,FALSE
181,METRO4,1,HELO,2000,LAS,Green ,NO,Las Vegas,Nevada,4,10-02-13 4:41,Saturday,FALSE
182,LOF7983,1,E145,UNKN,ORD,Green ,NO,Chicago,Illinois,0,10-02-13 0:33,Saturday,FALSE
183,COA246,1,B738,UNKN,ORD,Green ,NO,Chicago,Illinois,0,10-02-13 0:33,Saturday,FALSE
184,QXE199,1,DH8D,6000,SMO,Green ,NO,Santa Monica,California,2,10-02-13 2:22,Saturday,FALSE
185,SWA1342,1,B733,2500,SMO,Green ,NO,Santa Monica,California,3,10-02-13 3:00,Saturday,FALSE
186,N911LP,1,OH58,2000,LEX,Green ,NO,Lexington,Kentucky,3,10-02-13 3:05,Saturday,FALSE
187,AAL889,1,B738,5000,POM,Green ,NO,Pomona,California,4,10-02-13 4:35,Saturday,FALSE
188,COA996,1,B737,8000,GUM,UNKN,NO,Agana,Guam,5,10-02-14 5:27,Sunday,FALSE
189,RPA3264,1,E170,4500,GSO,Green,NO,Greensboro ,North Carolina,2,10-02-14 2:06,Sunday,FALSE
190,N145FH,1,H60,800,MCO,Green,NO,Orlando,Florida,2,10-02-14 2:14,Sunday,FALSE
191,RPA3126,1,E170,10000,PIT,Green,NO,Pittsburgh,Pennsylvania,2,10-02-14 2:50,Sunday,FALSE
192,SKW6476,1,CRJ2,10000,ORD,Green,NO,Chicago,Illinois,1,10-02-15 1:05,Monday,TRUE
193,DAL747,1,B752,5000,PHX,Green,NO,Phoenix,Arizona,5,10-02-15 5:08,Monday,TRUE
194,SWA1209,1,B737,4000,PHX,Green,NO,Phoenix,Arizona,5,10-02-15 5:32,Monday,TRUE
195,UAL52,1,B752,8000,LGB,Green,NO,Long Beach,California,5,10-02-15 5:11,Monday,TRUE
196,UAL168,1,B752,8000,BWI,Green,NO,Baltimore,Maryland,5,10-02-15 5:40,Monday,TRUE
197,SKW6843,1,E120,7000,SJC,Green,NO,San Jose,California,5,10-02-15 5:18,Monday,TRUE
198,SWA6834,1,CRJ7,1800,ORD,Green,NO,Chicago,Illinois,2,10-02-15 2:10,Monday,TRUE
199,UAL767,1,A319,1800,ORD,Green,NO,Chicago,Illinois,2,10-02-15 2:10,Monday,TRUE
200,UAL332,1,A320,1800,ORD,Green,NO,Chicago,Illinois,2,10-02-15 2:10,Monday,TRUE
201,N609DA,1,SR22,800,EFD,Green,NO,Ellington Field,Texas,2,10-02-15 2:28,Monday,TRUE
202,AAL1798,1,MD82,7500,SJC,Green,NO,San Jose,California,3,10-02-15 3:19,Monday,TRUE
203,METRO4,1,HELO,2800,LAS,Green,NO,Las Vegas,Nevada,4,10-02-15 4:30,Monday,TRUE
204,EGF3924,1,E145,2300,ORD,Green,NO,Chicago,Illinois,4,10-02-15 4:30,Monday,TRUE
205,SWA229,1,B737,3000,SNA,Green ,NO,Santa Ana,California,2,10-02-16 2:30,Tuesday,FALSE
206,COA361,1,B739,11000,SJC,Green,NO,San Jose,California,5,10-02-16 5:31,Tuesday,FALSE
207,ASQ5513,1,CRJ2,3500,MGM,Green,NO,Montgomery,Alabama,1,10-02-16 1:07,Tuesday,FALSE
208,ASA245,1,B738,8000,POM,Green,NO,Pomona,California,2,10-02-16 2:50,Tuesday,FALSE
